banco;activo;pasivo;capital;mes
VIVIBANCO, S. A.;790974;639899;151075;4
FICOHSA GUATEMALA, S. A.;3154878;2832356;322522;4
PROMERICA, S. A.;17855222;16210741;1644481;4
DE ANTIGUA, S. A.;1509598;1328401;181196;4
DE AMERICA CENTRAL, S. A.;34902032;31855188;3046844;4
AGROMERCANTIL DE GUATEMALA, S. A.;31969271;29315476;2653795;4
G&T CONTINENTAL, S. A.;56947898;51758293;5189605;4
AZTECA DE GUATEMALA, S. A.;1911612;1321946;589666;4
INV, S. A.;932459;813083;119376;4
CREDICORP, S. A.;447673;396504;51169;4
EL CREDITO HIPOTECARIO NACIONAL DE GUATEMALA;5356311;5087142;269168;5
INMOBILIARIO, S. A.;1972203;1636625;335578;5
DE LOS TRABAJADORES;28416638;24512437;3904201;5
INDUSTRIAL, S. A.;111009867;101506303;9503565;5
DE DESARROLLO RURAL, S. A.;86113731;78308326;7805406;5
INTERNACIONAL, S. A.;11173738;10105272;1068466;5
CITIBANK N.A. SUCURSAL GUATEMALA;4130179;3771462;358718;5
VIVIBANCO, S. A.;765157;612983;152174;5
FICOHSA GUATEMALA, S. A.;3200302;2874827;325475;5
PROMERICA, S. A.;17813585;16038592;1774994;5
DE ANTIGUA, S. A.;1496359;1304415;191944;5
DE AMERICA CENTRAL, S. A.;35026529;31934202;3092326;5
AGROMERCANTIL DE GUATEMALA, S. A.;31679116;28902306;2776811;5
G&T CONTINENTAL, S. A.;56173977;51111840;5062137;5
AZTECA DE GUATEMALA, S. A.;1942997;1339062;603935;5
INV, S. A.;930229;810130;120099;5
CREDICORP, S. A.;463326;410780;52546;5
EL CREDITO HIPOTECARIO NACIONAL DE GUATEMALA;5534610;5253869;280741;6
INMOBILIARIO, S. A.;2037961;1700380;337581;6
DE LOS TRABAJADORES;28676074;24692534;3983540;6
INDUSTRIAL, S. A.;112362517;103842371;8520146;6
DE DESARROLLO RURAL, S. A.;87432128;79520305;7911823;6
INTERNACIONAL, S. A.;11439168;10393588;1045580;6
CITIBANK N.A. SUCURSAL GUATEMALA;4312208;3944125;368083;6
VIVIBANCO, S. A.;765152;612169;152982;6
FICOHSA GUATEMALA, S. A.;3165145;2838471;326674;6
PROMERICA, S. A.;18026749;16379000;1647749;6
DE ANTIGUA, S. A.;1536311;1340610;195702;6
DE AMERICA CENTRAL, S. A.;34464484;31362892;3101591;6
AGROMERCANTIL DE GUATEMALA, S. A.;32333473;29487991;2845482;6
G&T CONTINENTAL, S. A.;56565789;51398575;5167214;6
AZTECA DE GUATEMALA, S. A.;1936622;1317803;618819;6
INV, S. A.;913513;792712;120801;6
